bigram,log_odds_ratio
card delivered,-1.6355
told amazon,-1.6252
text message,-1.6252
bait switch,-1.4785
card text,-1.4485
card amazon,-1.2796
need refund,-1.2796
cancel order,-1.2312
completely unacceptable,-1.2048
told could,-1.2048
amazon told,-1.2048
card purchase,-1.2048
amazon website,-1.1788
send email,-1.1768
get credit,-1.1768
send another,-1.1768
email link,-1.148
told wait,-1.1468
credit given,-1.1468
switch amazon,-1.1468
choose option,-1.1468
means anything,-1.1468
text phone,-1.1468
send gift,-1.1468
purchase time,-1.1468
via text,-1.1468
still showed,-1.1468
else amazon,-1.1468
time music,-1.1468
five minute,-1.1468
done immediately,-1.1468
false advertising,-1.1468
turn would,-1.1468
even aware,-1.1468
card almost,-1.1468
sent back,-1.1145
defective product,-1.0797
parental controls,-1.0424
called amazon,-1.0424
high hopes,-1.0419
extremely disappointed,-1.0419
received one,-1.0004
card balance,-1.0004
complete waste,-1.0004
buyer beware,-0.9752
buy button,-0.9713
phone number,-0.9639
amazon music,-0.9546
child purchased,-0.9546
stick cam,-0.9435
taste mouth,-0.9301
tried buy,-0.9301
send amazon,-0.9038
amazon never,-0.9038
plastic piece,-0.9034
doorbell pro,-0.9034
someone stole,-0.9034
connect wifi,-0.9034
box received,-0.9034
beware amazon,-0.8757
much desired,-0.8757
later get,-0.8457
immediately would,-0.8457
experience amazon,-0.8457
given gift,-0.8457
information sent,-0.8457
card turn,-0.8457
card redeemed,-0.8457
reviews others,-0.8457
get also,-0.8457
talking customer,-0.8457
number gift,-0.8457
read star,-0.8454
really even,-0.8454
want money,-0.8454
going return,-0.8454
card already,-0.8134
fine print,-0.7794
design flaw,-0.7786
sending back,-0.7786
cameras great,-0.7784
use cards,-0.7784
web interface,-0.7784
two filters,-0.7784
costumer service,-0.7784
throughout novel,-0.7784
received amazon,-0.7784
back another,-0.7784
one disappointing,-0.7784
would return,-0.7784
still waiting,-0.7784
acts like,-0.7784
way turn,-0.7784
return item,-0.7784
called number,-0.7784
amazon customers,-0.7784
best seller,-0.7784
month cancel,-0.7784
called customer,-0.754
email address,-0.7001
fun time,-0.7001
card would,-0.6996
wanted pay,-0.6996
wasted money,-0.6994
disappointed product,-0.6994
big mistake,-0.6994
cannot return,-0.6992
purchased three,-0.6992
one sent,-0.6992
worse one,-0.6992
two devices,-0.6992
know amazon,-0.6992
bought game,-0.6992
amazon store,-0.6992
always always,-0.6992
regular swaddlers,-0.6992
wish read,-0.6992
put hold,-0.6992
ordered gift,-0.6992
see someone,-0.6992
never purchase,-0.6992
another solution,-0.6992
even last,-0.6992
cant get,-0.6992
double click,-0.6992
purchased target,-0.6992
weeks one,-0.6992
gift amazon,-0.6992
original look,-0.6992
far worst,-0.6992
